DateTime,Entries,UniqueIPs
1527042283,9,9
1527108584,8,8
1527130671,6,6
1527174992,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527285652,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527308455,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527331055,7,7
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527354290,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527377267,8,8
1527400190,8,8
1527422220,7,7
1527444286,6,6
1527532361,7,7
1527598353,6,6
1527752656,7,7
1527774502,6,6
1527840098,5,5
1527862127,4,4
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527906498,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527951398,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527973854,3,3
1527996228,4,4
1527996228,4,4
1527996228,4,4
1527996228,4,4
1527996228,4,4
1528062036,5,5
1528106170,6,6
1528150347,5,5
1528172435,6,6
1528282599,7,7
1528304483,7,7
1528304483,7,7
1528304483,7,7
1528326787,7,7
1528326787,7,7
1528348822,6,6
1528392752,7,7
1528480609,8,8
1528546602,7,7
1528612884,6,6
1528657101,5,5
1528722979,4,4
1528766903,5,5
1528788756,4,4
1528898668,3,3
1528986756,2,2
1529074902,1,1
1529338593,0,0
1529985855,1,1
1530415460,2,2
1530503301,3,3
1530855407,4,4
1530877560,4,4
1531032017,3,3
1531097898,2,2
1531230050,3,3
1531461162,2,2
1531494285,1,1
1531516359,6913,6913
1531538243,6992,6992
1531848115,6994,6994
1531870491,64,64
1531892451,60,60
1531914499,56,56
1531936348,56,56
1531958492,58,58
1531980510,57,57
1532002612,51,51
1532024654,43,43
1532046526,41,41
1532068578,37,37
1532090466,31,31
1532112495,29,29
1532134355,28,28
1532156472,28,28
1532222682,26,26
1532244784,23,23
1532310795,24,24
1532332879,23,23
1532355162,21,21
1532421617,20,20
1532443702,21,21
1532465580,22,22
1532487705,26,26
1532509704,28,28
1532553870,25,25
1532575725,24,24
1532597793,23,23
1532663786,24,24
1532685640,25,25
1532729558,26,26
1532751652,25,25
1532795548,26,26
1532817667,28,28
1532839729,36,36
1532883637,36,36
1532905742,35,35
1532949618,34,34
1532971470,33,33
1532993315,31,31
1533059307,29,29
1533081374,28,28
1533103474,26,26
1533125367,24,24
1533147646,25,25
1533169704,26,26
1533235958,27,27
1533258051,28,28
1533280279,24,24
1533302185,25,25
1533324030,24,24
1533346246,23,23
1533368178,22,22
1533412362,19,19
1533434457,12,12
1533456756,11,11
1533478600,8,8
1533544617,10,10
1533566724,11,11
1533621858,12,12
1533644058,13,13
1533666030,12,12
1533732521,13,13
1533755458,12,12
1533777406,14,14
1533843850,13,13
1533865975,12,12
1533888028,11,11
1533910112,10,10
1533932202,11,11
1533976347,10,10
1534152750,9,9
1534219002,8,8
1534241122,6,6
1534263145,7,7
1534329172,8,8
1534351466,9,9
1534373322,7,7
1534549620,8,8
1534571546,7,7
1534593686,8,8
1534659643,9,9
1534703895,8,8
1534725875,9,9
1534747930,10,10
1534813721,11,11
1534835568,12,12
1534879943,14,14
1534902038,15,15
1534924103,16,16
1534945947,14,14
1534968034,15,15
1534989891,16,16
1535011946,17,17
1535034021,21,21
1535055871,22,22
1535077977,25,25
1535100026,27,27
1535121875,29,29
1535144219,29,29
1535166539,30,30
1535188611,32,32
1535210807,30,30
1535232746,31,31
1535254606,32,32
1535276651,31,31
1535298501,32,32
1535342518,30,30
1535452698,31,31
