DateTime,AddedIPs,RemovedIPs
1538977735,1,0
1538981795,1,0
1539022612,0,1
1539034850,1,0
1539055978,0,1
1539057906,0,1
1539059829,0,1
1539065852,0,1
1539067729,0,1
1539111157,1,0
1539120753,1,0
1539122689,0,1
1539176493,1,0
1539198276,0,1
1539205990,0,1
1539258035,1,0
1539262114,1,1
1539264052,1,0
1539266170,1,0
1539281579,1,0
1539296927,1,0
1539300772,1,0
1539314200,1,0
1539329572,1,0
1539331742,75,0
1539345399,0,1
1539347300,0,1
1539351423,0,2
1539368918,0,1
1539382373,0,1
1539386947,1,1
1539400359,0,1
1539415702,0,1
1539417710,0,75
1539427263,1,0
1539442593,1,0
1539473605,0,1
1539529534,0,1
1539531414,2,0
1539544854,1,0
1539546771,1,0
1539548689,2,0
1539554538,1,0
1539556433,1,0
1539558797,1,0
1539591565,1,0
1539595482,1,0
1539616851,0,1
1539618768,1,1
1539622628,0,1
1539632448,0,2
1539634368,0,1
1539636311,0,1
1539640126,0,1
1539642276,0,1
1539646113,0,1
1539676905,0,1
1539683093,0,1
1539696511,1,0
1539704432,0,1
1539730604,1,0
1539782683,0,1
1539802105,1,0
1539813898,1,0
1539817739,0,1
1539825573,1,0
1539858518,1,0
1539866206,1,0
1539870038,1,0
1539873887,1,0
1539877722,1,0
1539887572,0,1
1539895226,1,0
1539901008,1,1
1539902945,1,0
1539904858,1,0
1539910593,0,1
1539945161,1,1
1539953321,0,1
1539957184,0,1
1539961019,0,1
1539962908,0,1
1539980697,0,1
1539986550,0,1
1539990335,0,1
1539992208,1,1
1540015302,1,0
1540030621,0,1
1540078607,0,1
1540099727,0,1
1540170528,1,0
1540172429,1,0
1540180118,1,0
1540201264,1,0
1540207230,1,0
1540209170,1,0
1540228845,1,0
1540244241,1,0
1540250197,1,0
1540252118,1,0
1540254037,1,0
1540257872,1,1
1540259817,0,1
1540263700,1,0
1540269437,1,0
1540275186,1,0
1540277668,1,0
1540281533,1,0
1540285485,1,0
1540287399,1,1
1540289340,1,0
1540291232,1,0
1540293164,1,1
1540295084,0,1
1540302758,75,0
1540314538,0,1
1540335733,0,1
1540337581,0,1
1540339500,1,0
1540341417,0,1
1540345538,0,1
1540347446,0,1
1540349317,1,0
1540351231,1,1
1540355092,1,1
1540361102,1,1
1540365162,1,1
1540367112,0,1
1540369259,1,0
1540371160,0,1
1540373078,1,1
1540375035,1,1
1540377064,1,1
1540379152,0,1
1540389168,0,76
1540404529,1,0
1540417973,1,0
1540426059,0,1
1540435978,0,1
1540437901,0,1
1540441963,0,1
1540446061,0,1
1540447984,3,0
1540451823,0,1
1540455673,0,1
1540459498,0,1
1540461423,0,1
1540465324,0,1
1540491186,0,1
1540504937,0,1
1540532458,0,3
1540566777,1,0
1540589296,1,0
1540612603,1,0
1540614520,1,0
1540624131,1,0
1540641692,1,0
1540645495,1,0
1540649329,1,0
1540653188,1,1
1540659274,1,0
1540661076,1,0
1540665174,1,0
1540669009,1,0
1540670929,1,0
1540672844,1,0
1540675257,2,1
1540677148,1,0
1540679082,1,0
1540682903,1,0
1540692989,1,0
1540698741,1,0
1540700681,1,2
1540706496,1,0
1540710535,0,1
1540714367,2,0
1540718455,1,0
1540720340,1,0
1540728107,0,1
1540731878,0,1
1540735737,0,1
1540737637,1,0
1540739566,0,1
1540745319,0,1
1540749402,0,1
1540751306,0,1
1540758983,0,1
1540760923,0,2
1540762822,0,2
